"Date","Price","Open","High","Low","Change %"
"08/30/2024","5.103","5.151","5.164","5.117","-0.10%"
"08/29/2024","5.108","5.160","5.160","5.107","0.29%"
"08/28/2024","5.093","5.141","5.141","5.107","-0.37%"
"08/27/2024","5.112","5.168","5.168","5.124","-0.53%"
"08/26/2024","5.139","5.150","5.186","5.136","-0.06%"
"08/23/2024","5.142","5.178","5.232","5.139","-0.54%"
"08/22/2024","5.170","5.176","5.207","5.157","0.39%"
"08/21/2024","5.150","5.194","5.218","5.142","-0.56%"
"08/20/2024","5.179","5.196","5.223","5.174","-0.52%"
"08/19/2024","5.206","5.238","5.274","5.203","-0.27%"
"08/16/2024","5.220","5.264","5.269","5.209","-0.13%"
"08/15/2024","5.227","5.236","5.259","5.201","0.33%"
"08/14/2024","5.210","5.225","5.285","5.192","0.21%"
"08/13/2024","5.199","5.247","5.247","5.198","-0.29%"
"08/12/2024","5.214","5.245","5.258","5.214","-0.11%"
"08/09/2024","5.220","5.232","5.326","5.217","-0.13%"
"08/08/2024","5.227","5.264","5.297","5.214","0.08%"
"08/07/2024","5.223","5.247","5.257","5.218","0.00%"
"08/06/2024","5.223","5.201","5.247","5.201","0.17%"
"08/05/2024","5.214","5.258","5.260","5.103","0.60%"
"08/02/2024","5.183","5.309","5.341","5.185","-1.54%"
"08/01/2024","5.264","5.310","5.318","5.265","-0.30%"
"07/31/2024","5.280","5.313","5.315","5.289","0.00%"
"07/30/2024","5.280","5.359","5.359","5.293","-0.23%"
"07/29/2024","5.292","5.319","5.346","5.287","-0.11%"
"07/26/2024","5.298","5.329","5.337","5.298","-0.19%"
"07/25/2024","5.308","5.340","5.365","5.305","-0.15%"
"07/24/2024","5.316","5.340","5.350","5.314","-0.15%"
"07/23/2024","5.324","5.328","5.354","5.322","-0.17%"
"07/22/2024","5.333","5.384","5.391","5.331","-0.11%"
"07/19/2024","5.339","5.391","5.394","5.337","-0.09%"
"07/18/2024","5.344","5.394","5.394","5.342","0.04%"
"07/17/2024","5.342","5.361","5.361","5.340","0.00%"
"07/16/2024","5.342","5.341","5.369","5.335","0.06%"
"07/15/2024","5.339","5.378","5.367","5.333","-0.11%"
"07/12/2024","5.345","5.399","5.399","5.342","-0.04%"
"07/11/2024","5.347","5.418","5.427","5.347","-0.50%"
"07/10/2024","5.374","5.392","5.402","5.371","0.00%"
"07/09/2024","5.374","5.385","5.398","5.374","0.17%"
